@relation Credit_Data

@attribute Account_Status {'<0','0<=X<200','>=200','no checking'}
@attribute Debt_History {'no credits/all paid','all paid','existing paid','delayed previously','critical/other existing credit'}
@attribute Loan_Purpose {'new car', 'used car','furniture/equipment','radio/tv','domestic appliance','repairs','education','vacation','retraining','business','other'}
@attribute Credit_Amount {'<2000', '2000<=X<4000', '4000<=X<7000', '7000<=X<10000', '>=10000'}
@attribute Savings {'<100','100<=X<500','500<=X<1000','>=1000','no known savings'}
@attribute Years_Employed {'unemployed','<1','1<=X<4','4<=X<7','>=7'}
@attribute Personal_Status_And_Gender {'male div/sep','female div/dep/mar','male single','male mar/wid','female single'}
@attribute Age {'<21', '21<=X<30', '30<=X<40', '40<=X<50', '50<=X<60', '>=60'}
@attribute Job_Status {'unemp/unskilled non res','unskilled resident','skilled','high qualif/self emp/mgmt'}
@attribute Decision {good,bad}

@data
'0<=X<200','existing paid','radio/tv','2000<=X<4000','<100','1<=X<4','male single','30<=X<40','skilled',good
'<0','delayed previously','business','4000<=X<7000','<100','>=7','male single','>=60','skilled',bad
'0<=X<200','existing paid','business','<2000','>=1000','<1','male mar/wid','30<=X<40','skilled',good
'<0','existing paid','furniture/equipment','4000<=X<7000','<100','1<=X<4','male single','21<=X<30','skilled',good
'0<=X<200','existing paid','new car','4000<=X<7000','100<=X<500','1<=X<4','male single','30<=X<40','skilled',good
'no checking','critical/other existing credit','business','<2000','no known savings','>=7','male single','50<=X<60','unskilled resident',good
'>=200','existing paid','furniture/equipment','<2000','<100','<1','female div/dep/mar','30<=X<40','high qualif/self emp/mgmt',good
'0<=X<200','critical/other existing credit','radio/tv','4000<=X<7000','<100','<1','male single','21<=X<30','unskilled resident',bad
'no checking','critical/other existing credit','education','4000<=X<7000','<100','1<=X<4','male single','30<=X<40','skilled',good
'>=200','existing paid','radio/tv','2000<=X<4000','<100','1<=X<4','male single','30<=X<40','skilled',bad
'>=200','existing paid','domestic appliance','<2000','<100','1<=X<4','male single','30<=X<40','skilled',good
'0<=X<200','existing paid','radio/tv','<2000','<100','1<=X<4','male single','21<=X<30','skilled',good
'no checking','existing paid','radio/tv','2000<=X<4000','500<=X<1000','>=7','male single','30<=X<40','high qualif/self emp/mgmt',good
'0<=X<200','existing paid','radio/tv','<2000','500<=X<1000','1<=X<4','male div/sep','21<=X<30','skilled',good
'0<=X<200','delayed previously','repairs','4000<=X<7000','<100','1<=X<4','male single','40<=X<50','unskilled resident',good
'<0','critical/other existing credit','used car','4000<=X<7000','100<=X<500','4<=X<7','male mar/wid','21<=X<30','skilled',good
'<0','critical/other existing credit','used car','4000<=X<7000','<100','>=7','female div/dep/mar','50<=X<60','unskilled resident',bad
'no checking','critical/other existing credit','new car','<2000','<100','<1','female div/dep/mar','30<=X<40','high qualif/self emp/mgmt',good
'no checking','existing paid','radio/tv','2000<=X<4000','500<=X<1000','>=7','male single','30<=X<40','skilled',good
'<0','existing paid','used car','<2000','500<=X<1000','unemployed','female div/dep/mar','21<=X<30','unemp/unskilled non res',good
'no checking','critical/other existing credit','new car','7000<=X<10000','<100','1<=X<4','male single','30<=X<40','unskilled resident',good
'no checking','existing paid','radio/tv','2000<=X<4000','100<=X<500','1<=X<4','female div/dep/mar','21<=X<30','skilled',good
'0<=X<200','delayed previously','furniture/equipment','2000<=X<4000','no known savings','<1','male single','21<=X<30','unskilled resident',good
'0<=X<200','delayed previously','used car','4000<=X<7000','<100','>=7','male single','30<=X<40','high qualif/self emp/mgmt',good
'no checking','existing paid','radio/tv','<2000','<100','1<=X<4','male single','21<=X<30','skilled',good
'no checking','existing paid','used car','2000<=X<4000','no known savings','1<=X<4','male single','21<=X<30','skilled',good
'0<=X<200','delayed previously','new car','2000<=X<4000','<100','>=7','male single','50<=X<60','skilled',bad
'no checking','all paid','new car','<2000','no known savings','1<=X<4','male single','21<=X<30','unskilled resident',good
'0<=X<200','existing paid','radio/tv','4000<=X<7000','no known savings','unemployed','male single','50<=X<60','high qualif/self emp/mgmt',bad
'no checking','critical/other existing credit','radio/tv','7000<=X<10000','<100','1<=X<4','female div/dep/mar','30<=X<40','skilled',good
'>=200','existing paid','new car','<2000','<100','>=7','female div/dep/mar','21<=X<30','high qualif/self emp/mgmt',good
'<0','critical/other existing credit','furniture/equipment','4000<=X<7000','<100','<1','female div/dep/mar','21<=X<30','unskilled resident',bad
'0<=X<200','existing paid','business','<2000','<100','1<=X<4','male mar/wid','21<=X<30','skilled',good
'0<=X<200','critical/other existing credit','radio/tv','<2000','no known savings','>=7','male single','50<=X<60','skilled',good
'0<=X<200','no credits/all paid','business','<2000','<100','>=7','male single','>=60','high qualif/self emp/mgmt',bad
'0<=X<200','no credits/all paid','business','>=10000','<100','1<=X<4','male single','21<=X<30','skilled',bad
'no checking','existing paid','radio/tv','2000<=X<4000','<100','<1','female div/dep/mar','21<=X<30','skilled',good
'no checking','existing paid','repairs','4000<=X<7000','no known savings','>=7','male single','40<=X<50','skilled',good
'no checking','existing paid','radio/tv','2000<=X<4000','<100','<1','female div/dep/mar','21<=X<30','skilled',good
'0<=X<200','existing paid','new car','<2000','>=1000','1<=X<4','male mar/wid','21<=X<30','skilled',good
'no checking','existing paid','education','<2000','<100','1<=X<4','male single','30<=X<40','skilled',bad
'no checking','existing paid','radio/tv','2000<=X<4000','no known savings','1<=X<4','female div/dep/mar','21<=X<30','skilled',good
'no checking','existing paid','used car','7000<=X<10000','<100','1<=X<4','female div/dep/mar','30<=X<40','skilled',good
'no checking','critical/other existing credit','radio/tv','<2000','no known savings','>=7','male single','40<=X<50','unskilled resident',good
'<0','critical/other existing credit','other','<2000','<100','>=7','male single','50<=X<60','high qualif/self emp/mgmt',good
'0<=X<200','critical/other existing credit','business','4000<=X<7000','<100','4<=X<7','female div/dep/mar','40<=X<50','unskilled resident',good
'<0','existing paid','education','<2000','no known savings','>=7','male single','40<=X<50','high qualif/self emp/mgmt',bad
'<0','critical/other existing credit','used car','<2000','<100','>=7','male single','>=60','high qualif/self emp/mgmt',good
'<0','existing paid','radio/tv','2000<=X<4000','<100','<1','male single','30<=X<40','skilled',bad
'0<=X<200','delayed previously','radio/tv','4000<=X<7000','<100','4<=X<7','male single','50<=X<60','skilled',good
'no checking','no credits/all paid','used car','7000<=X<10000','no known savings','1<=X<4','male single','30<=X<40','unskilled resident',good
'0<=X<200','existing paid','furniture/equipment','2000<=X<4000','<100','<1','male mar/wid','21<=X<30','skilled',good
'no checking','existing paid','radio/tv','4000<=X<7000','no known savings','<1','female div/dep/mar','40<=X<50','skilled',bad
'no checking','existing paid','radio/tv','<2000','500<=X<1000','>=7','male single','40<=X<50','skilled',good
'no checking','existing paid','business','<2000','100<=X<500','1<=X<4','female div/dep/mar','21<=X<30','unskilled resident',good
'<0','existing paid','other','<2000','<100','>=7','female div/dep/mar','50<=X<60','unskilled resident',good
'<0','existing paid','radio/tv','2000<=X<4000','<100','>=7','male single','50<=X<60','unskilled resident',good
'no checking','critical/other existing credit','business','<2000','<100','1<=X<4','female div/dep/mar','21<=X<30','high qualif/self emp/mgmt',good
'0<=X<200','critical/other existing credit','furniture/equipment','<2000','<100','<1','female div/dep/mar','21<=X<30','skilled',good
'0<=X<200','existing paid','education','>=10000','100<=X<500','1<=X<4','male single','40<=X<50','skilled',bad
'<0','existing paid','new car','2000<=X<4000','100<=X<500','4<=X<7','male single','30<=X<40','high qualif/self emp/mgmt',good
'<0','no credits/all paid','repairs','<2000','<100','4<=X<7','male single','21<=X<30','skilled',bad
'no checking','critical/other existing credit','radio/tv','<2000','<100','>=7','male single','50<=X<60','skilled',good
'<0','critical/other existing credit','used car','<2000','<100','>=7','male single','50<=X<60','skilled',good
'no checking','critical/other existing credit','radio/tv','<2000','no known savings','>=7','female div/dep/mar','30<=X<40','unskilled resident',bad
'>=200','critical/other existing credit','furniture/equipment','2000<=X<4000','no known savings','>=7','male single','<21','skilled',good
'0<=X<200','existing paid','new car','<2000','>=1000','>=7','male single','50<=X<60','skilled',good
'0<=X<200','no credits/all paid','business','>=10000','<100','<1','male single','50<=X<60','skilled',bad
'no checking','critical/other existing credit','education','2000<=X<4000','no known savings','4<=X<7','female div/dep/mar','>=60','skilled',good
'0<=X<200','existing paid','business','2000<=X<4000','100<=X<500','1<=X<4','male single','30<=X<40','skilled',good
'0<=X<200','critical/other existing credit','radio/tv','2000<=X<4000','<100','>=7','male single','30<=X<40','skilled',good
'0<=X<200','delayed previously','used car','7000<=X<10000','no known savings','4<=X<7','male single','30<=X<40','high qualif/self emp/mgmt',good
'no checking','existing paid','new car','<2000','100<=X<500','>=7','male mar/wid','40<=X<50','unskilled resident',good
'0<=X<200','existing paid','radio/tv','2000<=X<4000','<100','4<=X<7','male single','21<=X<30','skilled',good
'no checking','delayed previously','radio/tv','<2000','<100','1<=X<4','female div/dep/mar','21<=X<30','skilled',good
'0<=X<200','critical/other existing credit','furniture/equipment','<2000','<100','4<=X<7','male single','30<=X<40','skilled',good
'no checking','existing paid','used car','2000<=X<4000','no known savings','<1','male mar/wid','21<=X<30','skilled',good
'0<=X<200','critical/other existing credit','other','>=10000','<100','1<=X<4','male single','30<=X<40','high qualif/self emp/mgmt',bad
'no checking','all paid','new car','4000<=X<7000','<100','>=7','male single','30<=X<40','high qualif/self emp/mgmt',bad
'0<=X<200','existing paid','new car','4000<=X<7000','<100','4<=X<7','male single','30<=X<40','skilled',good
'<0','existing paid','furniture/equipment','7000<=X<10000','no known savings','<1','female div/dep/mar','30<=X<40','skilled',good
'0<=X<200','existing paid','business','<2000','500<=X<1000','>=7','male mar/wid','30<=X<40','skilled',good
'0<=X<200','delayed previously','business','<2000','100<=X<500','>=7','male div/sep','30<=X<40','skilled',good
'>=200','existing paid','education','<2000','<100','<1','female div/dep/mar','21<=X<30','skilled',good
'0<=X<200','existing paid','new car','4000<=X<7000','<100','4<=X<7','male single','21<=X<30','unskilled resident',good
'no checking','critical/other existing credit','new car','7000<=X<10000','<100','1<=X<4','female div/dep/mar','21<=X<30','skilled',bad
'<0','existing paid','radio/tv','<2000','500<=X<1000','>=7','male mar/wid','30<=X<40','skilled',good
'no checking','critical/other existing credit','radio/tv','2000<=X<4000','no known savings','>=7','male single','40<=X<50','skilled',good
'<0','existing paid','radio/tv','7000<=X<10000','no known savings','4<=X<7','female div/dep/mar','30<=X<40','high qualif/self emp/mgmt',bad
'<0','critical/other existing credit','furniture/equipment','2000<=X<4000','no known savings','<1','female div/dep/mar','21<=X<30','skilled',good
'<0','critical/other existing credit','furniture/equipment','4000<=X<7000','500<=X<1000','1<=X<4','female div/dep/mar','21<=X<30','skilled',bad
'0<=X<200','critical/other existing credit','new car','2000<=X<4000','500<=X<1000','4<=X<7','male div/sep','30<=X<40','high qualif/self emp/mgmt',good
'<0','existing paid','radio/tv','<2000','<100','1<=X<4','female div/dep/mar','21<=X<30','skilled',bad
'no checking','critical/other existing credit','used car','2000<=X<4000','<100','>=7','female div/dep/mar','40<=X<50','high qualif/self emp/mgmt',good
'no checking','existing paid','furniture/equipment','<2000','<100','1<=X<4','male single','21<=X<30','unskilled resident',good
'>=200','critical/other existing credit','new car','<2000','<100','>=7','male single','>=60','skilled',good
'0<=X<200','existing paid','furniture/equipment','<2000','no known savings','<1','female div/dep/mar','21<=X<30','skilled',bad
'<0','critical/other existing credit','new car','2000<=X<4000','<100','1<=X<4','male single','30<=X<40','skilled',good
'<0','existing paid','radio/tv','<2000','<100','1<=X<4','male mar/wid','40<=X<50','unskilled resident',good
'0<=X<200','existing paid','repairs','<2000','<100','1<=X<4','male single','30<=X<40','skilled',bad
'0<=X<200','critical/other existing credit','used car','<2000','<100','unemployed','male single','30<=X<40','high qualif/self emp/mgmt',good
'<0','critical/other existing credit','new car','2000<=X<4000','<100','1<=X<4','female div/dep/mar','21<=X<30','skilled',bad
'0<=X<200','existing paid','new car','7000<=X<10000','no known savings','4<=X<7','female div/dep/mar','21<=X<30','skilled',good
'<0','delayed previously','education','4000<=X<7000','<100','1<=X<4','male single','21<=X<30','skilled',bad
'no checking','existing paid','furniture/equipment','2000<=X<4000','<100','<1','male single','21<=X<30','unskilled resident',good
'no checking','existing paid','furniture/equipment','<2000','<100','1<=X<4','male single','40<=X<50','skilled',good
'no checking','existing paid','radio/tv','>=10000','100<=X<500','4<=X<7','female div/dep/mar','21<=X<30','skilled',good
'no checking','critical/other existing credit','radio/tv','<2000','no known savings','>=7','female div/dep/mar','30<=X<40','skilled',good
'no checking','delayed previously','used car','7000<=X<10000','>=1000','1<=X<4','male single','21<=X<30','skilled',good
'0<=X<200','existing paid','radio/tv','<2000','500<=X<1000','1<=X<4','male single','>=60','unskilled resident',bad
'0<=X<200','critical/other existing credit','radio/tv','2000<=X<4000','no known savings','4<=X<7','male single','30<=X<40','skilled',good
'>=200','existing paid','radio/tv','<2000','<100','1<=X<4','female div/dep/mar','40<=X<50','unskilled resident',good
'>=200','existing paid','new car','<2000','>=1000','<1','male mar/wid','21<=X<30','unemp/unskilled non res',good
'0<=X<200','existing paid','radio/tv','4000<=X<7000','<100','<1','female div/dep/mar','30<=X<40','high qualif/self emp/mgmt',good
'<0','existing paid','radio/tv','2000<=X<4000','<100','1<=X<4','male single','21<=X<30','high qualif/self emp/mgmt',good
'<0','existing paid','furniture/equipment','2000<=X<4000','<100','1<=X<4','male single','21<=X<30','skilled',bad
'no checking','critical/other existing credit','furniture/equipment','2000<=X<4000','<100','<1','female div/dep/mar','21<=X<30','skilled',good
'0<=X<200','all paid','business','2000<=X<4000','100<=X<500','4<=X<7','male single','30<=X<40','skilled',good
'<0','critical/other existing credit','new car','<2000','<100','>=7','female div/dep/mar','30<=X<40','skilled',good
'no checking','critical/other existing credit','new car','<2000','100<=X<500','4<=X<7','female div/dep/mar','50<=X<60','skilled',good
'<0','critical/other existing credit','furniture/equipment','4000<=X<7000','<100','1<=X<4','male single','21<=X<30','skilled',good
'no checking','critical/other existing credit','radio/tv','<2000','>=1000','>=7','male single','40<=X<50','skilled',good
'no checking','existing paid','radio/tv','<2000','100<=X<500','>=7','male single','40<=X<50','skilled',good
'no checking','existing paid','radio/tv','<2000','<100','1<=X<4','male single','30<=X<40','skilled',good
'>=200','existing paid','radio/tv','4000<=X<7000','<100','1<=X<4','male single','21<=X<30','skilled',good
'0<=X<200','critical/other existing credit','used car','7000<=X<10000','>=1000','>=7','female div/dep/mar','21<=X<30','skilled',good
'0<=X<200','delayed previously','business','4000<=X<7000','100<=X<500','4<=X<7','male single','30<=X<40','high qualif/self emp/mgmt',good
'<0','existing paid','furniture/equipment','<2000','<100','1<=X<4','female div/dep/mar','<21','skilled',bad
'<0','critical/other existing credit','repairs','<2000','100<=X<500','>=7','male single','40<=X<50','skilled',good
'<0','all paid','retraining','<2000','<100','>=7','male mar/wid','40<=X<50','unskilled resident',good
'0<=X<200','existing paid','new car','2000<=X<4000','100<=X<500','4<=X<7','male single','30<=X<40','skilled',good
'no checking','critical/other existing credit','radio/tv','<2000','no known savings','1<=X<4','male single','30<=X<40','unskilled resident',good
'no checking','critical/other existing credit','radio/tv','2000<=X<4000','100<=X<500','>=7','male single','30<=X<40','skilled',good
'no checking','critical/other existing credit','new car','<2000','<100','<1','female div/dep/mar','30<=X<40','skilled',good
'no checking','existing paid','domestic appliance','<2000','500<=X<1000','4<=X<7','male single','30<=X<40','skilled',good
'0<=X<200','existing paid','new car','7000<=X<10000','<100','unemployed','male single','>=60','high qualif/self emp/mgmt',good
'no checking','existing paid','new car','<2000','500<=X<1000','>=7','male single','30<=X<40','skilled',good
'no checking','existing paid','furniture/equipment','2000<=X<4000','500<=X<1000','1<=X<4','male single','30<=X<40','skilled',good
'<0','existing paid','furniture/equipment','<2000','<100','unemployed','female div/dep/mar','30<=X<40','skilled',bad
'0<=X<200','existing paid','furniture/equipment','<2000','>=1000','<1','female div/dep/mar','<21','skilled',good
'no checking','existing paid','furniture/equipment','2000<=X<4000','<100','4<=X<7','female div/dep/mar','21<=X<30','skilled',good
'0<=X<200','critical/other existing credit','business','<2000','<100','>=7','male div/sep','30<=X<40','skilled',bad
'<0','no credits/all paid','new car','<2000','<100','>=7','male single','30<=X<40','skilled',bad
'no checking','existing paid','furniture/equipment','<2000','<100','1<=X<4','female div/dep/mar','21<=X<30','skilled',good
'0<=X<200','delayed previously','furniture/equipment','2000<=X<4000','<100','unemployed','female div/dep/mar','30<=X<40','high qualif/self emp/mgmt',bad
'0<=X<200','existing paid','radio/tv','<2000','<100','1<=X<4','male single','30<=X<40','skilled',good
'<0','delayed previously','education','2000<=X<4000','<100','<1','male single','21<=X<30','skilled',bad
'no checking','all paid','used car','7000<=X<10000','no known savings','unemployed','female div/dep/mar','50<=X<60','high qualif/self emp/mgmt',bad
'<0','existing paid','furniture/equipment','2000<=X<4000','<100','1<=X<4','male div/sep','40<=X<50','skilled',good
'<0','critical/other existing credit','radio/tv','<2000','500<=X<1000','>=7','male single','50<=X<60','skilled',good
'no checking','existing paid','radio/tv','<2000','<100','4<=X<7','male single','30<=X<40','high qualif/self emp/mgmt',good
'<0','critical/other existing credit','new car','<2000','<100','>=7','male single','>=60','skilled',good
'no checking','delayed previously','business','7000<=X<10000','<100','<1','male div/sep','21<=X<30','skilled',bad
'0<=X<200','delayed previously','business','4000<=X<7000','<100','1<=X<4','male div/sep','30<=X<40','high qualif/self emp/mgmt',bad
'<0','all paid','new car','<2000','no known savings','1<=X<4','male single','40<=X<50','unskilled resident',bad
'no checking','critical/other existing credit','furniture/equipment','2000<=X<4000','>=1000','1<=X<4','male single','50<=X<60','skilled',good
'0<=X<200','critical/other existing credit','new car','<2000','<100','>=7','male single','30<=X<40','skilled',bad
'no checking','critical/other existing credit','radio/tv','<2000','<100','1<=X<4','male single','30<=X<40','skilled',good
'0<=X<200','all paid','used car','4000<=X<7000','<100','>=7','female div/dep/mar','>=60','high qualif/self emp/mgmt',bad
'0<=X<200','critical/other existing credit','new car','<2000','<100','unemployed','male single','>=60','unemp/unskilled non res',good
'<0','existing paid','radio/tv','<2000','100<=X<500','4<=X<7','male mar/wid','<21','skilled',bad
'0<=X<200','no credits/all paid','furniture/equipment','2000<=X<4000','<100','1<=X<4','female div/dep/mar','30<=X<40','skilled',good
'no checking','existing paid','business','4000<=X<7000','>=1000','1<=X<4','male single','50<=X<60','high qualif/self emp/mgmt',bad
'0<=X<200','no credits/all paid','business','2000<=X<4000','100<=X<500','4<=X<7','male single','30<=X<40','unskilled resident',bad
'0<=X<200','existing paid','business','2000<=X<4000','<100','1<=X<4','male single','30<=X<40','skilled',bad
'no checking','existing paid','radio/tv','2000<=X<4000','<100','4<=X<7','male mar/wid','21<=X<30','skilled',good
'0<=X<200','existing paid','radio/tv','2000<=X<4000','100<=X<500','1<=X<4','male single','21<=X<30','skilled',bad
'0<=X<200','critical/other existing credit','education','<2000','<100','>=7','female div/dep/mar','30<=X<40','high qualif/self emp/mgmt',bad
'no checking','critical/other existing credit','radio/tv','<2000','<100','1<=X<4','female div/dep/mar','21<=X<30','skilled',good
'0<=X<200','existing paid','furniture/equipment','<2000','100<=X<500','<1','female div/dep/mar','21<=X<30','skilled',bad
'0<=X<200','existing paid','used car','2000<=X<4000','no known savings','>=7','male single','30<=X<40','skilled',good
'0<=X<200','delayed previously','furniture/equipment','4000<=X<7000','<100','>=7','male div/sep','40<=X<50','high qualif/self emp/mgmt',bad
'no checking','critical/other existing credit','education','<2000','500<=X<1000','>=7','male single','50<=X<60','skilled',good
'<0','existing paid','new car','<2000','<100','1<=X<4','male mar/wid','21<=X<30','unskilled resident',good
'no checking','delayed previously','business','4000<=X<7000','<100','4<=X<7','male single','21<=X<30','skilled',good
'<0','existing paid','retraining','<2000','<100','4<=X<7','male mar/wid','21<=X<30','skilled',bad
'no checking','critical/other existing credit','new car','<2000','<100','>=7','male single','30<=X<40','unskilled resident',good
'<0','critical/other existing credit','used car','>=10000','<100','>=7','male single','30<=X<40','high qualif/self emp/mgmt',good
'no checking','critical/other existing credit','furniture/equipment','<2000','<100','>=7','male single','40<=X<50','skilled',good
'0<=X<200','critical/other existing credit','domestic appliance','<2000','<100','4<=X<7','male single','21<=X<30','skilled',good
'<0','existing paid','business','4000<=X<7000','<100','1<=X<4','male mar/wid','21<=X<30','unskilled resident',good
'no checking','existing paid','used car','<2000','>=1000','4<=X<7','male single','50<=X<60','skilled',good
'no checking','critical/other existing credit','radio/tv','2000<=X<4000','no known savings','1<=X<4','male single','30<=X<40','skilled',good
'no checking','existing paid','radio/tv','2000<=X<4000','no known savings','>=7','female div/dep/mar','40<=X<50','unskilled resident',good
'<0','no credits/all paid','business','4000<=X<7000','<100','unemployed','male single','50<=X<60','skilled',bad
'>=200','delayed previously','business','<2000','<100','>=7','male single','>=60','high qualif/self emp/mgmt',bad
'no checking','critical/other existing credit','radio/tv','2000<=X<4000','no known savings','>=7','male single','50<=X<60','skilled',good
'0<=X<200','critical/other existing credit','retraining','<2000','no known savings','4<=X<7','female div/dep/mar','30<=X<40','unskilled resident',good
'<0','no credits/all paid','business','2000<=X<4000','<100','4<=X<7','male single','30<=X<40','skilled',good
'>=200','existing paid','radio/tv','2000<=X<4000','<100','1<=X<4','male single','21<=X<30','skilled',good
'<0','existing paid','furniture/equipment','2000<=X<4000','<100','1<=X<4','male div/sep','21<=X<30','unskilled resident',good
'no checking','existing paid','new car','<2000','<100','1<=X<4','female div/dep/mar','>=60','skilled',good
'0<=X<200','existing paid','radio/tv','<2000','<100','<1','male mar/wid','21<=X<30','unskilled resident',good
'<0','existing paid','education','<2000','no known savings','1<=X<4','female div/dep/mar','21<=X<30','skilled',good
'no checking','existing paid','radio/tv','<2000','<100','1<=X<4','male single','30<=X<40','skilled',good
'no checking','delayed previously','business','2000<=X<4000','no known savings','1<=X<4','male single','30<=X<40','skilled',good
'no checking','existing paid','used car','4000<=X<7000','<100','1<=X<4','male single','30<=X<40','skilled',good
'no checking','no credits/all paid','repairs','2000<=X<4000','<100','1<=X<4','male single','21<=X<30','skilled',good
'0<=X<200','existing paid','radio/tv','>=10000','>=1000','4<=X<7','male single','21<=X<30','skilled',bad
'<0','existing paid','furniture/equipment','7000<=X<10000','<100','>=7','male single','50<=X<60','high qualif/self emp/mgmt',bad
'no checking','existing paid','radio/tv','<2000','<100','4<=X<7','male single','21<=X<30','skilled',bad
'<0','existing paid','furniture/equipment','2000<=X<4000','<100','<1','male single','21<=X<30','skilled',good
'>=200','existing paid','radio/tv','4000<=X<7000','<100','1<=X<4','male single','21<=X<30','skilled',bad
'no checking','existing paid','new car','2000<=X<4000','500<=X<1000','>=7','male single','50<=X<60','unskilled resident',good
'no checking','existing paid','radio/tv','2000<=X<4000','100<=X<500','4<=X<7','male single','30<=X<40','skilled',good
'0<=X<200','existing paid','radio/tv','<2000','<100','1<=X<4','male mar/wid','21<=X<30','unskilled resident',good
'no checking','critical/other existing credit','radio/tv','<2000','<100','4<=X<7','male single','40<=X<50','unskilled resident',good
'<0','existing paid','radio/tv','<2000','<100','unemployed','male single','30<=X<40','high qualif/self emp/mgmt',bad
'0<=X<200','existing paid','new car','>=10000','no known savings','unemployed','male single','21<=X<30','unemp/unskilled non res',bad
'0<=X<200','existing paid','business','2000<=X<4000','100<=X<500','>=7','male div/sep','>=60','unskilled resident',bad
'no checking','critical/other existing credit','radio/tv','<2000','<100','1<=X<4','female div/dep/mar','30<=X<40','skilled',good
'<0','existing paid','radio/tv','2000<=X<4000','<100','>=7','male single','30<=X<40','skilled',good
'<0','existing paid','new car','<2000','no known savings','>=7','female div/dep/mar','21<=X<30','skilled',bad
'no checking','existing paid','radio/tv','<2000','<100','4<=X<7','male single','50<=X<60','skilled',good
'<0','no credits/all paid','used car','4000<=X<7000','<100','>=7','male single','21<=X<30','skilled',bad
'no checking','critical/other existing credit','business','<2000','<100','1<=X<4','female div/dep/mar','21<=X<30','skilled',good
'no checking','all paid','retraining','2000<=X<4000','500<=X<1000','1<=X<4','female div/dep/mar','30<=X<40','unskilled resident',good
